# /home/biodept/sw167/SFABC/ABC_0612a/TemplateFiles/CPo3Ti40S400_75.pau	Setting [workingDir=/home/biodept/sw167/SFABC/ABC_0612a/TemplateFiles/, obsFileName=/home/biodept/sw167/SFABC/ABC_0612a/TemplateFiles/CPo3Ti40S400_75.pau, resultOutFile=/home/biodept/sw167/SFABC/ABC_0612a/TemplateFiles/CPo3Ti40S400_75/CPo3Ti40S400_75.pau_summary.log, regressionCoefFile=/home/biodept/sw167/SFABC/ABC_0612a/TemplateFiles/CPo3Ti40S400_75.pau_regressionCoef.coef, doRegression=true, obsStat=[-3.8864650549564748, -3.8864650549564748], error=0.6782924633690215, seqLength=750, noSeqPerTime=50, noTime=3, noTotalSeq=150, timeGap=400, thinning=1000, noIteMCMC=1000000, noItePreprocess=100000]
Ite	mu	popsize
103000	4.9767229486052767E-5	24977.820726119782
104000	4.815943606443738E-5	23700.736396138203
105000	4.072732661357097E-5	25540.575465727055
106000	4.022816637204327E-5	24104.739904590308
107000	4.706352448636328E-5	24275.075284118004
108000	4.4427878903712016E-5	21989.368808444528
109000	4.9540592172216655E-5	21523.33224992196
110000	4.5494340792420795E-5	25394.968336768965
111000	1.1553818101699243E-5	5589.5636091257165
112000	2.858367207979781E-5	25123.501305579575
113000	4.88637975336802E-5	5912.909716969824
114000	5.097375075383134E-5	23075.347295632477
115000	4.814395058927283E-5	25728.88901165394
116000	4.814395058927283E-5	25939.417977834717
117000	4.204412768802867E-5	17699.5734304234
118000	4.6498347944304426E-5	22456.112950551884
119000	4.8469205394283775E-5	23170.932234716915
120000	4.774231133532606E-5	17628.571002109536
121000	5.1405015632545226E-5	25802.33376058731
122000	4.8186431370934255E-5	25983.620671992987
123000	4.672486928769669E-5	22921.08062178991
124000	3.97563416109794E-5	26082.7304822978
125000	3.894353352521363E-5	22272.850273079697
126000	4.877256218730447E-5	20460.96635326671
127000	1.2848115074354513E-5	23179.294692172174
128000	2.6933047036931596E-6	4101.766431185247
129000	3.530776731954253E-5	20127.62339126962
130000	5.1186986029732494E-5	20234.308505309094
131000	4.607316814402775E-5	15893.814861880406
132000	1.4104801137387149E-5	17481.638082311067
133000	4.696139941668861E-5	21395.823657249613
134000	4.765669224316959E-5	24264.152843447468
135000	4.8861652330998035E-5	25872.981265733655
136000	4.8861652330998035E-5	25981.114855933723
137000	4.2992247294778884E-5	23307.600193962026
