# /home/biodept/sw167/SFABC/ABC_0522/TemplateFiles/CPo3Ti40S400_9.pau	Setting [workingDir=/home/biodept/sw167/SFABC/ABC_0522/TemplateFiles/, obsFileName=/home/biodept/sw167/SFABC/ABC_0522/TemplateFiles/CPo3Ti40S400_9.pau, resultOutFile=/home/biodept/sw167/SFABC/ABC_0522/TemplateFiles/CPo3Ti40S400_9/CPo3Ti40S400_9.pau_summary.log, regressionCoefFile=/home/biodept/sw167/SFABC/ABC_0522/TemplateFiles/CPo3Ti40S400_9.pau_regressionCoef.coef, doRegression=true, obsStat=[-3.923111739116133, -3.923111739116133], error=0.6678366502057872, seqLength=750, noSeqPerTime=50, noTime=3, noTotalSeq=150, timeGap=400, thinning=1000, noIteMCMC=1000000, noItePreprocess=100000]
Ite	mu	popsize
87000	8.921639356277061E-6	21422.167417630164
88000	8.921639356277061E-6	21422.167417630164
89000	8.921639356277061E-6	21422.167417630164
90000	8.921639356277061E-6	21422.167417630164
91000	8.921639356277061E-6	21422.167417630164
92000	8.921639356277061E-6	21422.167417630164
93000	8.921639356277061E-6	21422.167417630164
94000	8.921639356277061E-6	21422.167417630164
95000	8.921639356277061E-6	21422.167417630164
96000	8.921639356277061E-6	21422.167417630164
97000	8.921639356277061E-6	21422.167417630164
98000	8.921639356277061E-6	21422.167417630164
99000	8.921639356277061E-6	21422.167417630164
100000	8.921639356277061E-6	21422.167417630164
101000	8.921639356277061E-6	21422.167417630164
102000	8.921639356277061E-6	21422.167417630164
103000	8.921639356277061E-6	21422.167417630164
104000	8.921639356277061E-6	21422.167417630164
105000	8.921639356277061E-6	21422.167417630164
106000	8.921639356277061E-6	21422.167417630164
107000	8.921639356277061E-6	21422.167417630164
108000	8.921639356277061E-6	21422.167417630164
109000	8.921639356277061E-6	21281.390670713245
110000	8.921639356277061E-6	21281.390670713245
111000	8.921639356277061E-6	21281.390670713245
112000	8.921639356277061E-6	21281.390670713245
113000	8.921639356277061E-6	21281.390670713245
114000	8.921639356277061E-6	21281.390670713245
115000	8.906715078391756E-6	21281.390670713245
116000	8.906715078391756E-6	21281.390670713245
117000	8.906715078391756E-6	21281.390670713245
118000	8.906715078391756E-6	21281.390670713245
119000	8.906715078391756E-6	21281.390670713245
120000	8.906715078391756E-6	21281.390670713245
121000	8.906715078391756E-6	21281.390670713245
122000	8.906715078391756E-6	21281.390670713245
123000	8.906715078391756E-6	21281.390670713245
124000	8.906715078391756E-6	21281.390670713245
125000	8.906715078391756E-6	21281.390670713245
126000	8.906715078391756E-6	21281.390670713245
127000	8.906715078391756E-6	21281.390670713245
128000	8.906715078391756E-6	21281.390670713245
129000	8.906715078391756E-6	21281.390670713245
130000	8.906715078391756E-6	21281.390670713245
131000	8.906715078391756E-6	21281.390670713245
132000	9.245855950226676E-6	21281.390670713245
133000	9.245855950226676E-6	21281.390670713245
134000	9.245855950226676E-6	21281.390670713245
135000	9.245855950226676E-6	21281.390670713245
136000	9.245855950226676E-6	21281.390670713245
137000	9.245855950226676E-6	21539.514063947892
138000	9.245855950226676E-6	21539.514063947892
139000	9.245855950226676E-6	21539.514063947892
140000	9.245855950226676E-6	21539.514063947892
141000	9.245855950226676E-6	21539.514063947892
142000	9.245855950226676E-6	21539.514063947892
143000	9.245855950226676E-6	21539.514063947892
144000	9.245855950226676E-6	21539.514063947892
145000	9.245855950226676E-6	21539.514063947892
146000	9.245855950226676E-6	21539.514063947892
147000	9.245855950226676E-6	21539.514063947892
148000	9.245855950226676E-6	21539.514063947892
149000	9.245855950226676E-6	21539.514063947892
150000	9.245855950226676E-6	21539.514063947892
151000	9.245855950226676E-6	21539.514063947892
152000	9.245855950226676E-6	21539.514063947892
153000	9.245855950226676E-6	21539.514063947892
154000	9.245855950226676E-6	21539.514063947892
155000	9.245855950226676E-6	21539.514063947892
156000	9.245855950226676E-6	21539.514063947892
157000	9.245855950226676E-6	21539.514063947892
158000	9.245855950226676E-6	21539.514063947892
159000	9.245855950226676E-6	21539.514063947892
160000	9.245855950226676E-6	21539.514063947892
161000	9.245855950226676E-6	21539.514063947892
162000	9.245855950226676E-6	21539.514063947892
163000	9.245855950226676E-6	21539.514063947892
164000	9.245855950226676E-6	21539.514063947892
165000	9.245855950226676E-6	21539.514063947892
166000	9.245855950226676E-6	21539.514063947892
167000	9.245855950226676E-6	21539.514063947892
168000	9.245855950226676E-6	21539.514063947892
169000	9.245855950226676E-6	21539.514063947892
170000	9.245855950226676E-6	21539.514063947892
171000	9.245855950226676E-6	21539.514063947892
172000	9.245855950226676E-6	21539.514063947892
173000	9.245855950226676E-6	21539.514063947892
174000	9.245855950226676E-6	21539.514063947892
175000	9.245855950226676E-6	21539.514063947892
176000	9.245855950226676E-6	21539.514063947892
177000	9.245855950226676E-6	21539.514063947892
178000	9.245855950226676E-6	21539.514063947892
179000	9.245855950226676E-6	21539.514063947892
180000	9.245855950226676E-6	21539.514063947892
181000	9.245855950226676E-6	21539.514063947892
182000	9.245855950226676E-6	21539.514063947892
183000	9.245855950226676E-6	21539.514063947892
184000	9.245855950226676E-6	21539.514063947892
185000	9.245855950226676E-6	21539.514063947892
186000	9.245855950226676E-6	21539.514063947892
187000	9.245855950226676E-6	21539.514063947892
188000	9.245855950226676E-6	21539.514063947892
189000	9.245855950226676E-6	21539.514063947892
190000	9.245855950226676E-6	21539.514063947892
191000	9.24294373692481E-6	21539.514063947892
192000	9.24294373692481E-6	21539.514063947892
193000	9.24294373692481E-6	21539.514063947892
194000	9.24294373692481E-6	21539.514063947892
195000	9.24294373692481E-6	21539.514063947892
196000	9.24294373692481E-6	21539.514063947892
197000	9.24294373692481E-6	21539.514063947892
